census_block_group,population,elderly_percentage,income,affected_one_ring,Yi_avg_loss_ratio,relief_m,area_km2,road_density_km_per_km2,population_density,centroid_lon,centroid_lat,centroid_x_m,centroid_y_m,zero_vehicle_rate
060374038011,525.0,20.1905,77580,0,-4.0,16.72203064,0.595870084,17.29140163,881.0645372,-117.8770276,34.10268815,195858.9158,-432582.9683,0.1229050279329608
060374038012,2985.0,9.2797,77580,0,0.5,16.98878479,0.630605556,17.43560223,4733.545353,-117.8680959,34.10296709,196682.0905,-432533.5418,0.0518218623481781
060374038013,2143.0,7.0929,138177,0,1.0,17.76390076,0.656266426,17.37375576,3265.442073,-117.8594173,34.10307084,197482.3495,-432503.9945,0.0
060374038021,2323.0,17.7787,84821,0,1.0,14.37646484,0.321303875,23.06132151,7229.915911,-117.8506898,34.10122422,198292.0223,-432690.58,0.108695652173913
060374038022,906.0,15.6733,82928,0,1.0,14.88418579,0.329411113,19.08920576,2750.362587,-117.8507255,34.1048889,198279.5123,-432284.2186,0.0189873417721519
060374038023,3318.0,12.2966,86107,0,1.0,19.71183777,0.653204984,22.14954405,5079.569325,-117.8420023,34.10307913,199088.7006,-432466.6529,0.0
060374039011,1187.0,17.4389,90750,0,0.875,15.75991821,0.327800834,22.79155941,3621.10122,-117.8769816,34.123276,195812.0162,-430299.5097,0.0231023102310231
060374039013,1157.0,15.5575,119875,0,1.0,24.61956787,0.558140946,21.92772679,2072.953094,-117.8683958,34.12190022,196607.202,-430434.3283,0.0202020202020202
060374039021,1321.0,5.8289,80529,0,-1.0,25.41087341,0.409145641,13.60283804,3228.679147,-117.8682238,34.11627757,196637.0917,-431057.5731,0.0
060374039022,1932.0,9.1615,107386,0,0.0,19.03144836,0.659802314,16.81430923,2928.149778,-117.8681951,34.11021526,196654.8627,-431729.8725,0.0547752808988764
060374039023,1979.0,24.5073,99464,0,0.0,16.51016235,1.044082232,16.80626379,1895.444572,-117.8768564,34.11162033,195852.5174,-431591.9673,0.0196936542669584
060374042011,1644.0,6.8127,36667,0,0.666666667,15.47503662,0.473982054,20.77299365,3468.485751,-117.8974673,34.12783773,193911.6466,-429835.6734,0.3223140495867768
060374042012,1775.0,9.8592,97303,0,1.0,13.96844482,0.453548613,18.29617685,3913.582687,-117.8930591,34.12528056,194324.45,-430110.2634,0.0220750551876379
060374043012,1404.0,6.8376,66000,0,-0.333333333,9.085113525,0.279166811,26.59052888,5029.251134,-117.9054755,34.12401632,193182.5548,-430275.8555,0.031578947368421
060374043013,1871.0,7.4292,68500,0,0.875,8.159103394,0.327825935,25.27011077,5707.297081,-117.9044045,34.13163684,193262.6343,-429428.4755,0.0399061032863849
060374043014,1147.0,15.4316,110341,0,1.0,4.713378906,0.163208121,31.51177392,7027.836575,-117.9044055,34.12895169,193269.1313,-429726.2901,0.1581395348837209
060374043021,1596.0,15.4135,90119,0,-0.175,15.36993408,0.35716309,28.69714069,4468.54685,-117.9035551,34.11942015,193370.9254,-430781.7025,0.0
060374043022,606.0,14.5215,62500,0,-1.0,10.42807007,0.258594278,19.85295512,2343.439328,-117.9033383,34.115791,193399.8236,-431183.7668,0.0507614213197969
060374044011,942.0,9.7665,64567,0,0.0,13.30184937,0.343752806,21.63903815,2740.341264,-117.9111739,34.12990755,192642.6682,-429634.0498,0.1076923076923077
060374044012,1586.0,9.0794,102120,0,-0.34375,37.12557983,0.724061538,15.45194587,2190.421555,-117.9204583,34.13120761,191783.3907,-429508.6808,0.0871985157699443
060374044013,1279.0,6.0203,96875,0,1.0,13.07901001,0.382699122,38.01366332,3342.051042,-117.912594,34.12487133,192524.0196,-430195.5062,0.074074074074074
060374044021,1234.0,16.3695,94201,0,1.0,104.6421967,2.4478474,10.28006548,504.1163921,-117.9263165,34.12108554,191267.7661,-430643.1647,0.0
060374044022,1217.0,4.355,90400,0,-0.055555556,15.86694336,0.416297179,23.35570871,2923.392381,-117.9129065,34.1206899,192505.4106,-430659.9043,0.0813953488372093
